MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127737900,Couplings,WIVIA,SFC-050SA2-14B-15B,FG,13,PCS,594,,7722,386,8108,0,NO.9,7722,100,0,0,0,0,0,X0779,,2021-12-02,8000,Trading company,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,TW90985,Couplings,KED TECHNOLOGY CO. LTD.,SFC-050SA2-20B-22B,FG,3,PCS,594,,1782,89,1871,0,NO.8,1782,100,0,0,0,0,0,X1231,,2021-12-07,8000,Trading company,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127744300,Couplings,TERA AUTOTECH CORPORATION,SFC-060SA2-17B-19B,FG,1,PCS,794,,794,40,834,0,NO.9,794,100,0,0,0,0,0,X0051,,2021-12-07,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127747600,Couplings,GOODWAY MACHINE CORP.,SFC-080DA2-24B-25B,FG,10,PCS,1100,,11000,550,11550,0,NO.7,4227.095,38.42813636,6772.905,6772.905,0,0,0,X0129,,2021-11-02,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127749500,Couplings,ACCUWAY MACHINERY CO. LTD.,SFC-080SA2-20B-35B,FG,10,PCS,800,,8000,400,8400,0,NO.7,3367.307,42.0913375,4632.693,4632.693,0,0,0,X0151,,2021-10-21,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127750300,Couplings,JOEN LIH MACHINERY CO. LTD,SFC-080SA2-24B-32B,FG,20,PCS,876,,17520,876,18396,0,NO.8,17520,100,0,0,0,0,0,X0091,,2021-10-27,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127750700,Couplings,WELE MECHATRONIC CO. LTD,SFC-080SA2-25B-35B,FG,30,PCS,807,,24210,1210,25420,0,NO.6*24/NO.7*6,10383.934,42.89109459,13826.066,13826.066,0,0,0,X0054,,2021-11-26,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127750700,Couplings,WELE MECHATRONIC CO. LTD,SFC-080SA2-25B-35B,FG,60,PCS,807,,48420,2421,50841,0,NO.3*12/NO.4&5*24,20767.869,42.89109665,27652.131,27652.131,0,0,0,X0054,,2021-11-26,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127750700,Couplings,SANYEAR ENTERPRISE CO. LTD.,SFC-080SA2-25B-35B,FG,2,PCS,876,,1752,88,1840,0,NO.8,1752,100,0,0,0,0,0,X0309,,2021-12-07,8000,Trading company,8000,Trading company
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127751500,Couplings,BOTHEVEN MACHINERY INDUSTRIAL CO. LTD.,SFC-080SA2-32B-32B,FG,40,PCS,876,,35040,1752,36792,0,NO.1*4/NO.2*24/NO.3*12,16727.712,47.73890411,18312.288,18312.288,0,0,0,X0176,,2021-12-02,8000,Trading company,0900,Gum、Plastic processing
