24.11.2021,5,2401580,ALS-095-R,10750,5,2202,15.12.2021,"33.20","63.50",30210,Bianchi Industrial SpA,"166.00","317.50",A,80,MPEU,1
24.11.2021,8,2401580,AL-050,10850,8,2201,15.12.2021,"1.60","8.50",30210,Bianchi Industrial SpA,"12.80","68.00",A,80,MPEU,1
24.11.2021,10,2401580,SFC-060DA2-24B-24B,10101,10,2301,15.12.2021,"22.96","51.51",30210,Bianchi Industrial SpA,"229.60","515.10",A,80,MPEU,1
24.11.2021,1,2401580,ALS-065-25B Klemmnabe,10781,1,2202,15.12.2021,"78.00","174.40",30210,Bianchi Industrial SpA,"78.00","174.40",A,80,MPEU,1
08.12.2021,10,2401594,SFM-100SS-T014N,10470,10,2302,15.12.2021,"300.00","462.00",30310,Yamazaki Mazak UK Ltd.,"3000.00","4620.00",D,10,MPEU,1
12.01.2022,10,2401596,SFM-100SS-T014N,10470,10,2302,15.12.2021,"300.00","462.00",30310,Yamazaki Mazak UK Ltd.,"3000.00","4620.00",D,10,MPEU,1
01.11.2021,5,2401598,KSK 2 AA 6H7/10H7,11401,5,9909,15.12.2021,"8.27","17.00",21020,Fibro GmbH,"41.35","85.00",D,90,MPEU,1
20.10.2021,5,2401604,Ankerteil Type4 546-12-34 NF - STAN FULL WFN,90903,5,1501,15.12.2021,"66.30","65.00",30325,"Miki Pulley Co., Ltd.","331.50","325.00",D,98,MPEU,1
10.11.2021,4,2401604,Ankerteil Type4 546-13-34 NS - STAN SING,90903,4,1501,15.12.2021,"89.60","87.80",30325,"Miki Pulley Co., Ltd.","358.40","351.20",D,98,MPEU,1
20.10.2021,3,2401604,Ankerteil Type4 546-13-34 RS - SAW R SING,90903,3,1501,15.12.2021,"117.90","115.50",30325,"Miki Pulley Co., Ltd.","353.70","346.50",D,98,MPEU,1
20.10.2021,2,2401604,Ankerteil Type4 546-25-34 NS - STAN SING,90903,2,1501,15.12.2021,"167.40","164.10",30325,"Miki Pulley Co., Ltd.","334.80","328.20",D,98,MPEU,1
10.11.2021,2,2401604,Ankerteil Type4 546-31-34 NS - STAN SING,90903,2,1501,15.12.2021,"326.10","319.70",30325,"Miki Pulley Co., Ltd.","652.20","639.40",D,98,MPEU,1
20.10.2021,15,2401604,Stator 546-12-34 24V,90903,15,1501,15.12.2021,"45.40","44.50",30325,"Miki Pulley Co., Ltd.","681.00","667.50",D,98,MPEU,1
20.10.2021,80,2401604,Stator 546-23-34 24V,90903,80,1501,15.12.2021,"92.80","90.90",30325,"Miki Pulley Co., Ltd.","7424.00","7272.00",D,98,MPEU,1
10.11.2021,17,2401604,Stator 546-25-34 24V,90903,17,1501,15.12.2021,"112.10","109.90",30325,"Miki Pulley Co., Ltd.","1905.70","1868.30",D,98,MPEU,1
20.10.2021,30,2401604,Stop Ring SW55 23,90903,30,1501,15.12.2021,"0.50","0.50",30325,"Miki Pulley Co., Ltd.","15.00","15.00",D,98,MPEU,1
20.10.2021,20,2401604,Stop Ring SW70 25,90903,20,1501,15.12.2021,"0.50","0.50",30325,"Miki Pulley Co., Ltd.","10.00","10.00",D,98,MPEU,1
20.10.2021,10,2401604,Stop Ring SW85 31,90903,10,1501,15.12.2021,"0.50","0.50",30325,"Miki Pulley Co., Ltd.","5.00","5.00",D,98,MPEU,1
20.10.2021,20,2401604,Ankerteil Type4 546-15-34 LS - SAW L SING,90903,20,1501,15.12.2021,"96.60","94.70",30325,"Miki Pulley Co., Ltd.","1932.00","1894.00",D,98,MPEU,1
20.10.2021,30,2401604,Ankerteil Type4 546-21-34 NF - STAN FULL WFN,90903,30,1501,15.12.2021,"81.30","79.70",30325,"Miki Pulley Co., Ltd.","2439.00","2391.00",D,98,MPEU,1
20.10.2021,1,2401604,546-31-15-A-5,90903,1,1501,15.12.2021,"685.00","671.50",30325,"Miki Pulley Co., Ltd.","685.00","671.50",D,98,MPEU,1
10.11.2021,15,2401604,Rotor 546-12-34 NF 10mm - STAN FULL WFN,90903,15,1501,15.12.2021,"36.90","36.10",30325,"Miki Pulley Co., Ltd.","553.50","541.50",D,98,MPEU,1
10.11.2021,8,2401604,Rotor 546-12-34 NF 12mm - STAN FULL WFN,90903,8,1501,15.12.2021,"42.30","41.40",30325,"Miki Pulley Co., Ltd.","338.40","331.20",D,98,MPEU,1
10.11.2021,2,2401604,Rotor 546-13-34 LS 15mm,90903,2,1501,15.12.2021,"56.80","55.60",30325,"Miki Pulley Co., Ltd.","113.60","111.20",D,98,MPEU,1
10.11.2021,5,2401604,Rotor 546-13-34 NF 17mm - STAN FULL WFN,90903,5,1501,15.12.2021,"49.40","48.40",30325,"Miki Pulley Co., Ltd.","247.00","242.00",D,98,MPEU,1
10.11.2021,4,2401604,Rotor 546-13-34 NS 15mm,90903,4,1501,15.12.2021,"60.10","58.90",30325,"Miki Pulley Co., Ltd.","240.40","235.60",D,98,MPEU,1
10.11.2021,3,2401604,Rotor 546-13-34 RS 15mm,90903,3,1501,15.12.2021,"74.10","72.60",30325,"Miki Pulley Co., Ltd.","222.30","217.80",D,98,MPEU,1
10.11.2021,5,2401604,Rotor 546-15-34 LS 20mm,90903,5,1501,15.12.2021,"69.30","67.90",30325,"Miki Pulley Co., Ltd.","346.50","339.50",D,98,MPEU,1
10.11.2021,6,2401604,Rotor 546-15-34 LS 25mm,90903,6,1501,15.12.2021,"69.30","67.90",30325,"Miki Pulley Co., Ltd.","415.80","407.40",D,98,MPEU,1
10.11.2021,3,2401604,Rotor 546-15-34 RS 25mm,90903,3,1501,15.12.2021,"69.30","67.90",30325,"Miki Pulley Co., Ltd.","207.90","203.70",D,98,MPEU,1
20.10.2021,2,2401604,Rotor 546-21-34 NS 25mm,90903,2,1501,15.12.2021,"80.30","78.70",30325,"Miki Pulley Co., Ltd.","160.60","157.40",D,98,MPEU,1
10.11.2021,20,2401604,Rotor 546-21-34 RS 25mm,90903,20,1501,15.12.2021,"77.40","75.80",30325,"Miki Pulley Co., Ltd.","1548.00","1516.00",D,98,MPEU,1
10.11.2021,8,2401604,Rotor 546-23-34 NF 30mm - STAN FULL WFN,90903,8,1501,15.12.2021,"103.10","101.00",30325,"Miki Pulley Co., Ltd.","824.80","808.00",D,98,MPEU,1
20.10.2021,2,2401604,Rotor 546-23-34 RS 30mm,90903,2,1501,15.12.2021,"136.00","133.30",30325,"Miki Pulley Co., Ltd.","272.00","266.60",D,98,MPEU,1
