据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C
MPTJ,2,20211227,20220118,IN,MIKIPULLEY(India),9800,123150900,PSL-K-19,30,RMB,43.3161,,2602,,,MIKIPULLEY(India),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,123150900,PSL-K-19,135,RMB,45.3575,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,123150900,PSL-K-19,450,RMB,45.3575,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,123150900,PSL-K-19,135,RMB,45.3575,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,123158100,PSL-K-10-F,160,RMB,108.7688,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,123151400,PSL-K-25,225,RMB,53.9697,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(HONG KONG),9800,123151400,PSL-K-25,150,RMB,54,,2602,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220320,IN,MIKIPULLEY(JAPAN),9800,123151400,PSL-K-25,135,RMB,53.9697,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,123151400,PSL-K-25,180,RMB,53.9697,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,123151400,PSL-K-25,270,RMB,53.9697,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,123150100,PSL-K-12,160,RMB,39.5523,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,123150100,PSL-K-12,160,RMB,39.5523,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,123150100,PSL-K-12,320,RMB,39.5523,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220225,IN,MIKIPULLEY(SHANG HAI),9800,123141000,PSL-D-8,10,RMB,109,,2602,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,123141000,PSL-D-8,12,RMB,109,,2602,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211230,IN,MIKIPULLEY(SHANG HAI),9800,123145500,PSL-G-20,100,RMB,39,,2602,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220118,IN,MIKIPULLEY(India),9800,123145500,PSL-G-20,120,RMB,37.7023,,2602,,,MIKIPULLEY(India),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,124540700,PSL-G-80-T1,160,RMB,135.4985,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,124540700,PSL-G-80-T1,160,RMB,135.4985,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220320,IN,MIKIPULLEY(JAPAN),9800,124540700,PSL-G-80-T1,160,RMB,135.4985,,2602,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,123155900,PSL-K-14-C,45,RMB,49.3128,,2602,,,MIKIPULLEY(JAPAN),9800
