据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,2,20211229,20220430,OUT,POLYSTAR,1900,,QY40P,20,RMB,369.9115,,3302,其他,OUT,包利思特,9099,71
MPSH,2,20211229,20220225,OUT,HONG JIN XIN,8000,125360600,BXW-03-10R-24V-11,100,RMB,282,,1201,MPTW,OUT,深圳鹰诺,1590,72
MPSH,2,20211229,20220118,OUT,BITPASS,8000,,SFF-100DS-38KK-42KK,1,RMB,558,,2302,MPTJ,OUT,四川志方,1510,73
MPSH,2,20211229,20211231,OUT,BITPASS,8000,121758000,SFC-030DA2-12B-14B,20,RMB,61,,2301,MPTJ,OUT,昆山杰士德,1190,74
MPSH,2,20211229,20220106,OUT,FTS-SHENZHENG,8000,121386100,SFC-030DA2-8B-14B,2,RMB,107,,2301,MPTJ,OUT,深圳易天,1190,75
MPSH,2,20211229,20220208,OUT,BITPASS,8000,129723200,SFF-120SS-45K-55K-600N,4,RMB,768,,2302,MPJP,IN,青岛大东,1020,76
MPSH,2,20211229,20220208,OUT,BITPASS,8000,125188900,SFF-080DS-22K-25K,1,RMB,410,,2302,MPTJ,OUT,青岛大东,1020,77
MPSH,2,20211229,20220120,OUT,BITPASS,8000,122167000,SFF-080SS-25K-25K,2,RMB,357,,2302,MPTJ,OUT,上海仕泽,9004,78
MPSH,2,20211229,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,79
MPSH,2,20211229,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,80
MPSH,2,20211229,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,81
MPSH,2,20211229,20220105,OUT,ACE,8000,122769000,ALS-055-R,27,RMB,84,,2202,MPTJ,OUT,,,82
MPSH,2,20211229,20220105,OUT,ACE,8000,,ALS-080ARN-38BHA-40BHA,10,RMB,227,,2202,MPTJ,OUT,,,83
MPSH,2,20211229,20220105,OUT,ACE,8000,,AK-185-MAT-28N,10,RMB,470,,3101,MPTJ,OUT,,,84
MPSH,2,20211229,20220105,OUT,ACE,8000,123026000,SFC-100SA2-35B-40B,1,RMB,364,,2301,MPTJ,OUT,,,85
MPSH,2,20211229,20220105,OUT,ACE,8000,,ALS-030ARN-8BHA-12BHA,2,RMB,55,,2202,MPTJ,OUT,,,86
MPSH,2,20211229,20211229,OUT,ACE,8000,121912800,SFC-060SA2-18B-30B,1,RMB,258,,2301,MPTJ,OUT,,,87
MPSH,2,20211229,20220107,OUT,ACE,8000,,SFF-120DS-45K-55KK-600N,1,RMB,1465,,2302,MPJP,IN,,,88
MPSH,2,20211229,20220105,OUT,ACE,8000,,PE-185-MAT-22K,20,RMB,270,,3101,MPTJ,OUT,富豪木工,9003,89
MPSH,2,20211229,20220105,OUT,ACE,8000,129024300,SFC-035DA2-12B-19B,50,RMB,99,,2301,MPTJ,OUT,济南金威刻,1030,90
MPSH,2,20211229,20211201,OUT,ACE,8000,,SFF-090SS-40KK-45K,60,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,91
MPSH,2,20211229,20211103,OUT,ACE,8000,,SFF-090SS-40KK-45K,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,92
MPSH,2,20211229,20211203,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,5,RMB,676,,2302,MPJP,IN,宁波海天,1010,93
MPSH,2,20211229,20220202,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,30,RMB,676,,2302,MPJP,IN,宁波海天,1010,94
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFC-080DA2-T088,50,RMB,225,,2301,MPTJ,OUT,杭州友佳,1010,95
MPSH,2,20211229,20220304,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,15,RMB,676,,2302,MPJP,IN,宁波海天,1010,96
MPSH,2,20211229,20220121,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,31,RMB,676,,2302,MPJP,IN,宁波海天,1010,97
MPSH,2,20211229,20211229,OUT,ACE,8000,,SFF-080SS-35K-35KS,5,RMB,306,,2302,MPTJ,OUT,宁波海天,1010,98
MPSH,2,20211229,20211229,OUT,ACE,8000,,SRG-060AS-32K-35KS,9,RMB,159,,2303,MPTJ,OUT,宁波海天,1010,99
MPSH,2,20211229,20211229,OUT,ACE,8000,,111-08-13N 24V,40,RMB,97,,1301,MPTJ,OUT,瑞一五金,9099,100
MPSH,2,20211229,20220105,OUT,ACE,8000,121776100,SFC-010DA2-5B-8B,50,RMB,93,,2301,MPTJ,OUT,上海天旋,1190,101
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-070SS-24KK-35KS,2,RMB,305,,2302,MPTJ,OUT,,,102
MPSH,2,20211229,20220105,OUT,ACE,8000,,111-12-11N 24V 25JIS,1,RMB,247,,1301,MPTJ,OUT,,,103
MPSH,2,20211229,20220311,OUT,NICHIDEN,8000,128749700,BXR-035-10LE-062,22,RMB,423,,1201,MPJP,IN,东莞新友智能,9099,104
MPSH,2,20211229,20220105,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,105
MPSH,2,20211229,20220105,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,106
MPSH,2,20211229,20220106,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,107
MPSH,2,20211229,20220209,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,108
MPSH,2,20211229,20220105,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,2,RMB,154,,2301,MPTJ,OUT,新明和,9099,109
MPSH,2,20211229,20220211,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,110
MPSH,2,20211229,20220211,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,111
MPSH,2,20211229,20220228,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,112
MPSH,2,20211229,20220301,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,113
MPSH,2,20211229,20220225,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,114
MPSH,2,20211229,20220304,OUT,ANSEN,8000,071082300,AL-090,200,RMB,52,,2202,MPJP,IN,上海启翔,2390,115
MPSH,2,20211229,20220110,OUT,ANSEN,8000,,SFF-100DS-42KJ-55KJ,10,RMB,511,,2302,MPTJ,OUT,广东台一,1910,116
MPSH,2,20211229,20220104,OUT,ANSEN,8000,,111-10-12N 24V 25JIS,8,RMB,181,,1301,MPTJ,OUT,,,117
MPSH,2,20211229,20220108,OUT,ANSEN,8000,,ALS-040AYN-20BHA-20BHA,4,RMB,71,,2202,MPTJ,OUT,,,118
MPSH,2,20211229,20220115,OUT,ANSEN,8000,121454900,SFC-020DA2-8B-8B,2,RMB,118,,2301,MPTJ,OUT,,,119
MPSH,2,20211229,20220103,OUT,ANSEN,8000,121437500,SFC-030DA2-10B-14B,10,RMB,126,,2301,MPTJ,OUT,,,120
MPSH,2,20211229,20220204,OUT,ANSEN,8000,121516800,BXW-04-10L-24V-10,1,RMB,177,,1201,MPJP,IN,,,121
MPSH,2,20211229,20211105,OUT,ANSEN,8000,,BXW-01-10R-24V(本体）,1000,RMB,103,,1401,MPTW,OUT,苏州汇川,0140,122
MPSH,2,20211229,20220105,OUT,ACE,8000,,111-08-11N 24V 15DIN,1,RMB,140,,1301,MPTJ,OUT,,,123
MPSH,2,20211229,20220105,OUT,ACE,8000,123141000,PSL-D-8,12,RMB,152,,2602,MPTJ,OUT,,,124
MPSH,2,20211229,20220204,OUT,ACE,8000,105646700,ETP-A-55,1,RMB,826,,2601,MPJP,IN,,,125
MPSH,2,20211229,20211208,OUT,ACE,8000,122740600,ALS-040-R,2,RMB,52,,2202,MPJP,IN,,,126
MPSH,2,20211229,20211201,OUT,ACE,8000,,SFF-090SS-35K-40KK,30,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,127
MPSH,2,20211229,20211103,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,128
MPSH,2,20211229,20211124,OUT,ACE,8000,,SFF-090SS-35K-40KK,25,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,129
MPSH,2,20211229,20220105,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,1,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,130
MPSH,2,20211229,20211215,OUT,ACE,8000,125242800,SRG-060AS-35K-35KS,40,RMB,159,,2303,MPTJ,OUT,宁波海天,1010,131
MPSH,2,20211229,20220121,OUT,ACE,8000,126813500,SFH-190S-T015,8,RMB,2509,,2302,MPJP,IN,宁波海天,1010,132
MPSH,2,20211229,20211229,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,133
MPSH,2,20211229,20211229,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,50,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,134
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-090SS-35K-40KK,15,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,135
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,136
MPSH,2,20211229,20220301,OUT,NICHIDEN,8000,128747800,BXR-025-10LE-032,200,RMB,198,,1201,MPJP,IN,东莞新友智能,9099,137
MPSH,2,20211229,20211217,OUT,ANSEN,8000,108922800,NSS 10.9.12,3,RMB,3200,,2902,MPJP,IN,安庆恒昌,1640,138
MPSH,2,20211229,20220221,OUT,ANSEN,8000,122740600,ALS-040-R,500,RMB,52,,2202,MPJP,IN,,,139
MPSH,2,20211229,20211220,OUT,ANSEN,8000,,SFF-090DS-35K-42K,30,RMB,462,,2302,MPTJ,OUT,,,140
MPSH,2,20211229,20211213,OUT,ANSEN,8000,122681800,SFF-090SS-32K-35K,20,RMB,410,,2302,MPTJ,OUT,,,141
MPSH,2,20211229,20220121,OUT,ANSEN,8000,123434700,CS-16-35G 24V R30DIN A30DIN,2,RMB,2050,,1301,MPJP,IN,,,142
MPSH,2,20211229,20220121,OUT,ANSEN,8000,105659100,RSE-15,8,RMB,289,,2503,MPJP,IN,,,143
MPSH,2,20211229,20220103,OUT,ANSEN,8000,121809900,SFC-060SA2-28B-28B,2,RMB,258,,2301,MPTJ,OUT,,,144
MPSH,2,20211229,20220103,OUT,ANSEN,8000,121945800,SFC-050DA2-22B-22B,3,RMB,204,,2301,MPTJ,OUT,山东鲁南,1010,145
MPSH,2,20211229,20220110,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,430,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,146
MPSH,2,20211229,20220110,OUT,STAR PRECISION,1000,,SFC-050SA2-T212,140,RMB,153,,2301,MPTJ,OUT,斯大精密,1090,147
MPSH,2,20211229,20220108,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,290,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,148
MPSH,2,20211229,20220208,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,380,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,149
MPSH,2,20211229,20211231,,ZZYWK,8000,,SFC-050SA2-15.875B-22B,2,RMB,320,,2301,MPTJ,OUT,中冶迈克,1590,150
MPSH,2,20211229,20220215,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,10,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,151
MPSH,2,20211229,20220118,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,20,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,152
MPSH,2,20211229,20220315,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,20,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,153
MPSH,2,20211229,20220105,OUT,MISUMI,8000,121881400,SFC-020DA2-7B-8B,2,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,154
MPSH,2,20211229,20211230,OUT,CHANGZHOU LEINIER,8000,,101-08-13N 24V 15JIS,15,RMB,159,,1301,MPTJ,OUT,钰邦电子,1190,155
MPSH,2,20211229,20220104,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,15,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,156
MPSH,2,20211229,20220104,OUT,OKUMA,1000,123146000,PSL-G-30,4,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,157
MPSH,2,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,8,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,158
MPSH,2,20211229,20220104,OUT,OKUMA,1000,123146000,PSL-G-30,10,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,159
MPSH,2,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,6,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,160
MPSH,2,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,1,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,161
MPSH,2,20211229,20220125,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,39,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,162
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFC-040DA2-19BH-20BH,3,RMB,181,,2301,MPTJ,OUT,,,163
MPSH,2,20211229,20220105,OUT,ACE,8000,121913400,SFC-060SA2-24B-25B,48,RMB,258,,2301,MPTJ,OUT,,,164
MPSH,2,20211229,20220121,OUT,ACE,8000,028033400,ACRM-100 8-6.35,5,RMB,136,,2501,MPJP,IN,,,165
MPSH,2,20211229,20220121,OUT,ACE,8000,110088000,MM-16K-S,4,RMB,484,,2502,MPJP,IN,,,166
MPSH,2,20211229,20211119,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,30,RMB,758,,2302,MPJP,IN,宁波海天,1010,167
MPSH,2,20211229,20220107,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,30,RMB,758,,2302,MPJP,IN,宁波海天,1010,168
MPSH,2,20211229,20220107,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,30,RMB,350,,2303,MPJP,IN,宁波海天,1010,169
MPSH,2,20211229,20220107,OUT,ACE,8000,129875500,SFF-120DS-35K-35K-600N,40,RMB,876,,2302,MPJP,IN,济南二机床,1010,170
MPSH,2,20211229,20211203,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,40,RMB,758,,2302,MPJP,IN,宁波海天,1010,171
MPSH,2,20211229,20211203,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,40,RMB,758,,2302,MPJP,IN,宁波海天,1010,172
MPSH,2,20211229,20220107,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,10,RMB,350,,2303,MPJP,IN,宁波海天,1010,173
MPSH,2,20211229,20220121,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,50,RMB,350,,2303,MPJP,IN,宁波海天,1010,174
MPSH,2,20211229,20211229,OUT,ACE,8000,,ALS-080ARN-35BHA-35BHA,50,RMB,155,,2202,MPTJ,OUT,莆田庆川,1090,175
MPSH,2,20211229,20220121,OUT,ACE,8000,122647600,121-10-20G,1,RMB,2075,,1302,MPJP,IN,,,176
MPSH,2,20211229,20211229,OUT,ACE,8000,121945500,SFC-050DA2-15B-18B,2,RMB,225,,2301,MPTJ,OUT,,,177
MPSH,2,20211229,20220105,OUT,ACE,8000,,ALS-080ARN-35BHA-38BKA,2,RMB,227,,2202,MPTJ,OUT,,,178
MPSH,2,20211229,20211222,OUT,ACE,8000,,SFC-050SA2-T081,100,RMB,100,,2301,MPTJ,OUT,西安北村,1010,179
MPSH,2,20211229,20220105,OUT,ACE,8000,,ALS-065ARN-32BKA-35BHA,5,RMB,143,,2202,MPTJ,OUT,宁波海天,1010,180
MPSH,2,20211229,20220106,OUT,TOYO AUTOMATION,8000,121347500,SFC-040SA2-12B-16B,10,RMB,41.593,,2301,MPTJ,OUT,东佑达,1210,181
MPSH,2,20211229,20221220,OUT,TOYO AUTOMATION,8000,121318400,SFC-030SA2-8B-10B,19,RMB,37.0974,,2301,MPTJ,OUT,东佑达,1210,182
MPSH,2,20211229,20220201,OUT,ANSEN,8000,662267,546.15.3.4(662267),30,RMB,2850,,1501,其他,OUT,青岛软控,0910,183
