据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,3,20220105,20211222,OUT,ZHENGYI BEARING,8000,122577400,SFC-020DA2-4.5B-8B,15,RMB,130,,2301,MPTJ,OUT,东莞微格,1610,66
MPSH,3,20220105,20211228,OUT,ZHENGYI BEARING,8000,121666600,SFC-030SA2-8B-14B,10,RMB,97,,2301,MPTJ,OUT,东莞爱康,1590,67
MPSH,3,20220105,20211230,OUT,POLYSTAR,1900,123145500,PSL-G-20,100,RMB,144.2478,,2602,MPTJ,OUT,包利思特,9099,68
MPSH,3,20220105,20220104,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,4,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,69
MPSH,3,20220105,20211227,OUT,ANSEN,8000,122740600,ALS-040-R,300,RMB,52,,2202,MPTJ,OUT,,,70
MPSH,3,20220105,20220115,OUT,ANSEN,8000,,CS-08-31N 24V R15DIN A15DIN,1,RMB,253,,1301,MPTJ,OUT,,,71
MPSH,3,20220105,20220103,OUT,ANSEN,8000,121437500,SFC-030DA2-10B-14B,10,RMB,126,,2301,MPTJ,OUT,,,72
MPSH,3,20220105,20220110,OUT,ANSEN,8000,,CS-08-33N 24V 15JIS,50,RMB,197,,1301,MPTJ,OUT,安徽绩溪,9002,73
MPSH,3,20220105,20220110,OUT,ANSEN,8000,,SFF-100DS-42KJ-55KJ,10,RMB,511,,2302,MPTJ,OUT,广东台一,1910,74
MPSH,3,20220105,20220103,OUT,ANSEN,8000,121809900,SFC-060SA2-28B-28B,2,RMB,258,,2301,MPTJ,OUT,,,75
MPSH,3,20220105,20220103,OUT,ANSEN,8000,121945800,SFC-050DA2-22B-22B,3,RMB,204,,2301,MPTJ,OUT,山东鲁南,1010,76
MPSH,3,20220105,20220110,OUT,ANSEN,8000,123146800,PSL-G-50,1,RMB,173,,2602,MPTJ,OUT,,,77
MPSH,3,20220105,20220103,OUT,ANSEN,8000,,BXL-10-10N-015-24V-20,2,RMB,309,,1401,MPTJ,OUT,,,78
MPSH,3,20220105,20220104,OUT,ANSEN,8000,,111-12-11N 24V 30JIS,2,RMB,247,,1301,MPTJ,OUT,,,79
MPSH,3,20220105,20220108,OUT,ANSEN,8000,123429800,CS-08-33G 24V 15DIN,2,RMB,337,,1301,MPTJ,OUT,,,80
MPSH,3,20220105,20220104,OUT,BITPASS,8000,121585600,SFC-020SA2-6B-8B,20,RMB,41,,2301,MPTJ,OUT,苏州迈为,1190,81
MPSH,3,20220105,20220103,OUT,NICHIDEN,8000,125731500,SFC-025SA2-12B-12B,2,RMB,111,,2301,MPTJ,OUT,TOWA半导体,1190,82
MPSH,3,20220105,20220104,OUT,BITPASS,8000,123146100,PSL-G-32,5,RMB,116,,2602,MPTJ,OUT,上海易孚迪,9099,83
MPSH,3,20220105,20220104,OUT,BITPASS,8000,123429800,CS-08-33G 24V 15DIN,20,RMB,337,,1301,MPTJ,OUT,上海仕泽,9004,84
